P-Nr.,Probe,F14C,err,D14C ,err,wood_core_tree_rings,Species
33459,40244-1-4,1.1593,0.0026,149.1,2.7,,Sac
33460,1054-1-4,1.3587,0.0030,346.7,3,,Sac
33463, 34063-2-2,1.0352,0.0024,26.1,2.4,7,Ab
33464,27803-2-2,1.0315,0.0023,22.5,2.3,11,Dac
33465,31391-2-4,1.0778,0.0024,68.3,2.4,15,Ab
33466,29900-2-2,1.0372,0.0024,28.1,2.4,9,Dac
33467,26820-2-4,1.1267,0.0025,116.8,2.5,30,Ab
33468,34446-1-4,1.0499,0.0028,40.7,2.8,,Sac
33469,32001-2-2,1.0763,0.0026,66.8,2.6,11,Dac
33470,32001-2-4,1.1708,0.0029,160.5,2.9,21,Dac
33471,27803-2-4,1.0432,0.0024,34,2.4,22,Dac
33472,31456-1-2,1.0287,0.0024,19.7,2.4,10,Ab
33473,29896-2-2,1.0423,0.0025,33.1,2.5,12,Dac
33475,26820-2-2,1.0548,0.0024,45.5,2.4,17,Ab
33477,29896-2-4,1.1863,0.0027,175.9,2.7,19,Dac
33478,31492-1-4,1.2824,0.0031,271.1,3.1,23,Dac
33479,34063-2-4,1.0556,0.0025,46.3,2.5,21,Ab
33480,26862-2-2,0.9606,0.0024,47.9,2.4,10,Ab
33481,31456-1-4,1.1562,0.0027,146,2.7,25,Ab
33482,42589-1-4,1.0771,0.0026,67.6,2.6,,Sac
33483,34446-1-2,1.0311,0.0025,22.1,2.5,,Sac
34170,29900-2-2,1.0240,0.0022,15,2.2,9,Dac
34171,29896-2-2,1.0361,0.0023,27,2.3,12,Dac
34174,31492-1-2,1.0488,0.0023,39.6,2.2,12,Dac
34175,32001-2-2,1.0438,0.0023,34.6,2.3,11,Dac
34176,31456-1-2,1.0389,0.0027,29.7,2.7,10,Ab
34177,27803-2-4,1.0295,0.0023,20.4,2.3,22,Dac