P-Nr.,Probe,species,Compound,Date,F14C,err_F14C ,D14C,err_D14C
21613,27924_D.mic,Dacryodes microcarpa,respired_CO2,May_2019,1.0244,0.0019,15.9,1.9
21614,32001_D.mic,Dacryodes microcarpa,respired_CO2,May_2019,1.0270,0.0017,18.5,1.7
21615,27944_D.mic,Dacryodes microcarpa,respired_CO2,May_2019,1.0270,0.0017,18.4,1.7
21616,37967_D.mic,Dacryodes microcarpa,respired_CO2,May_2019,1.0367,0.0017,28.1,1.7
21617,31492_D.mic,Dacryodes microcarpa,respired_CO2,May_2019,1.0565,0.0017,47.7,1.7
21618,27200_D.mic,Dacryodes microcarpa,respired_CO2,May_2019,1.0313,0.0017,22.7,1.8
21619,25633_D.mic,Dacryodes microcarpa,respired_CO2,May_2019,1.0406,0.0018,32,1.8
21620,29900_D.mic,Dacryodes microcarpa,respired_CO2,May_2019,1.0258,0.0017,17.3,1.7
21621,29896_D.mic,Dacryodes microcarpa,respired_CO2,May_2019,1.0479,0.0016,39.2,1.6
21622,26220_D.mic,Dacryodes microcarpa,respired_CO2,May_2019,1.0255,0.0017,17,1.7
21623,34459_O.leu,Ocotea leucoxylon,respired_CO2,May_2019,1.0358,0.0033,27.2,3.3
21624,31456_O.leu,Ocotea leucoxylon,respired_CO2,May_2019,1.0467,0.0017,38,1.7
21625,31391_O.leu,Ocotea leucoxylon,respired_CO2,May_2019,1.0105,0.0033,2.1,3.3
21626,5327_O.leu,Ocotea leucoxylon,respired_CO2,May_2019,1.0388,0.0032,30.1,3.2
21627,26820_O.leu,Ocotea leucoxylon,respired_CO2,May_2019,1.0334,0.0017,24.9,1.7
21628,31506_O.leu,Ocotea leucoxylon,respired_CO2,May_2019,1.0347,0.0016,26.1,1.6
21629,34288_O.leu,Ocotea leucoxylon,respired_CO2,May_2019,1.0401,0.0033,31.4,3.3
21630,34063_O.leu,Ocotea leucoxylon,respired_CO2,May_2019,1.0248,0.0031,16.3,3.1
21631,26862_O.leu,Ocotea leucoxylon,respired_CO2,May_2019,1.0376,0.0018,29,1.8
21632,34441_O.leu,Ocotea leucoxylon,respired_CO2,May_2019,1.0411,0.0016,32.4,1.6
21633,34446_S.gui,Sacoglottis guianensis ,respired_CO2,May_2019,1.0310,0.0034,22.4,3.4
21634,27638_S.gui,Sacoglottis guianensis ,respired_CO2,May_2019,1.0271,0.0030,18.6,3
21635,25211_S.gui,Sacoglottis guianensis ,respired_CO2,May_2019,1.0268,0.0032,18.2,3.2
21636,27640_S.gui,Sacoglottis guianensis ,respired_CO2,May_2019,1.0296,0.0031,21.1,3.1
21637,25030_S.gui,Sacoglottis guianensis ,respired_CO2,May_2019,1.0823,0.0033,73.3,3.3
21638,31494_S.gui,Sacoglottis guianensis ,respired_CO2,May_2019,1.0281,0.0034,19.6,3.4
21639,25376_S.gui,Sacoglottis guianensis ,respired_CO2,May_2019,1.0325,0.0032,23.9,3.2
21640,40244_S.gui,Sacoglottis guianensis ,respired_CO2,May_2019,1.1032,0.0018,94.1,1.8
21641,27639_S.gui,Sacoglottis guianensis ,respired_CO2,May_2019,1.0176,0.0017,9.1,1.8
21642,31769_S.gui,Sacoglottis guianensis ,respired_CO2,May_2019,1.0472,0.0016,38.5,1.6